# packages in environment at /home/haolingp/miniconda3/envs/SMT:
#
# Name                               Version          Build                 Channel
_libgcc_mutex                        0.1              main
_openmp_mutex                        5.1              1_gnu
llvmlite                             0.45.1           py310hee1c697_0       conda-forge
lm-format-enforcer                   0.10.3           pypi_0                pypi
lmdb                                 0.9.31           hb25bd0a_0
lz4-c                                1.10.0           h5888daf_1            conda-forge
mad                                  0.15.1b          h9c3ff4c_1            conda-forge
markdown-it-py                       4.0.0            pyhd8ed1ab_0          conda-forge
markupsafe                           2.1.5            pypi_0                pypi
matplotlib-base                      3.10.7           py310hfde16b3_0       conda-forge
matplotlib-inline                    0.2.1            pyhd8ed1ab_0          conda-forge
mdurl                                0.1.2            pyhd8ed1ab_1          conda-forge
montreal-forced-aligner              3.3.8            pyhd8ed1ab_0          conda-forge
mpg123                               1.32.9           hc50e24c_0            conda-forge
mpmath                               1.3.0            pypi_0                pypi
msgpack-python                       1.1.2            py310h03d9f68_1       conda-forge
multidict                            6.7.0            pypi_0                pypi
multiprocess                         0.70.18          pypi_0                pypi
munkres                              1.1.4            pyhd8ed1ab_1          conda-forge
ncurses                              6.5              h7934f7d_0
nest-asyncio                         1.6.0            pyhd8ed1ab_1          conda-forge
nettle                               3.9.1            h7ab15ed_0            conda-forge
networkx                             3.3              pypi_0                pypi
ngram                                1.3.17           hb700be7_0            conda-forge
ninja                                1.13.0           pypi_0                pypi
nspr                                 4.38             h29cc59b_0            conda-forge
nss                                  3.117            h445c969_0            conda-forge
numba                                0.62.1           py310h3477d8a_0       conda-forge
numpy                                1.25.2           pypi_0                pypi
nvidia-cublas-cu12                   12.1.3.1         pypi_0                pypi
nvidia-cuda-cupti-cu12               12.1.105         pypi_0                pypi
nvidia-cuda-nvrtc-cu12               12.1.105         pypi_0                pypi
nvidia-cuda-runtime-cu12             12.1.105         pypi_0                pypi
nvidia-cudnn-cu12                    9.1.0.70         pypi_0                pypi
nvidia-cufft-cu12                    11.0.2.54        pypi_0                pypi
nvidia-curand-cu12                   10.3.2.106       pypi_0                pypi
nvidia-cusolver-cu12                 11.4.5.107       pypi_0                pypi
nvidia-cusparse-cu12                 12.1.0.106       pypi_0                pypi
nvidia-ml-py                         13.580.82        pypi_0                pypi
nvidia-nccl-cu12                     2.20.5           pypi_0                pypi
nvidia-nvjitlink-cu12                12.9.86          pypi_0                pypi
nvidia-nvtx-cu12                     12.1.105         pypi_0                pypi
openai                               2.8.0            pypi_0                pypi
openfst                              1.8.4            h84d6215_1            conda-forge
openh264                             2.3.1            hcb278e6_2            conda-forge
openjpeg                             2.5.0            hfec8fc6_2            conda-forge
openldap                             2.6.10           he970967_0            conda-forge
openssl                              3.6.0            h26f9b46_0            conda-forge
outlines                             0.0.46           pypi_0                pypi
p11-kit                              0.24.1           hc5aa10d_0            conda-forge
packaging                            25.0             pyh29332c3_1          conda-forge
pandas                               2.1.4            pypi_0                pypi
pango                                1.50.7           h668f713_2
parso                                0.8.5            pyhcf101f3_0          conda-forge
pcre2                                10.46            h1321c63_0            conda-forge
pexpect                              4.9.0            pyhd8ed1ab_1          conda-forge
pgvector                             0.8.0            hf59a245_1            conda-forge
pgvector-python                      0.4.1            pyhc48fcf7_0          conda-forge
pickleshare                          0.7.5            pyhd8ed1ab_1004       conda-forge
pillow                               11.1.0           py310hcea889d_0
pip                                  25.3             pyh8b19718_0          conda-forge
pixman                               0.46.4           h54a6638_1            conda-forge
platformdirs                         4.5.0            pyhcf101f3_0          conda-forge
pooch                                1.8.2            pyhd8ed1ab_3          conda-forge
poppler                              24.09.0          hcf11d46_1
poppler-data                         0.4.12           hd8ed1ab_0            conda-forge
postgresql                           17.3             h9e3fa73_0            conda-forge
praatio                              6.2.0            pyhd8ed1ab_1          conda-forge
prometheus-client                    0.23.1           pypi_0                pypi
prometheus-fastapi-instrumentator    7.1.0            pypi_0                pypi
prompt-toolkit                       3.0.52           py310h06a4308_1
propcache                            0.4.1            pypi_0                pypi
protobuf                             6.33.1           pypi_0                pypi
psutil                               7.1.3            py310h139afa4_0       conda-forge
psycopg2                             2.9.9            py310hce86986_2       conda-forge
pthread-stubs                        0.3              h0ce48e5_1
ptyprocess                           0.7.0            pyhd3eb1b0_3
pure_eval                            0.2.3            pyhd8ed1ab_1          conda-forge
py-cpuinfo                           9.0.0            pypi_0                pypi
pyairports                           0.0.1            pypi_0                pypi
pyarrow                              22.0.0           pypi_0                pypi
pycountry                            24.6.1           pypi_0                pypi
pycparser                            2.22             pyh29332c3_1          conda-forge
pydantic                             2.12.4           pypi_0                pypi
pydantic-core                        2.41.5           pypi_0                pypi
pygments                             2.19.2           pyhd8ed1ab_0          conda-forge
pynini                               2.1.7            py310h03d9f68_2       conda-forge
pyparsing                            3.2.5            pyhcf101f3_0          conda-forge
pysocks                              1.7.1            pyha55dd90_7          conda-forge
pysoundfile                          0.13.1           pyhd8ed1ab_0          conda-forge
python                               3.10.19          h6fa692b_0
python-dateutil                      2.9.0post0       py310h06a4308_2
python-dotenv                        1.2.1            pypi_0                pypi
python_abi                           3.10             2_cp310               conda-forge
pytz                                 2025.2           pypi_0                pypi
pyyaml                               6.0.3            py310h3406613_0       conda-forge
pyzmq                                27.1.0           py310hcf8288c_1
qhull                                2020.2           h434a139_5            conda-forge
ray                                  2.51.1           pypi_0                pypi
readline                             8.3              hc2a1206_0
referencing                          0.37.0           pypi_0                pypi
regex                                2025.11.3        pypi_0                pypi
requests                             2.32.5           pyhd8ed1ab_0          conda-forge
rich                                 14.2.0           pyhcf101f3_0          conda-forge
rich-click                           1.9.4            pyhd8ed1ab_0          conda-forge
rpds-py                              0.28.0           pypi_0                pypi
safetensors                          0.6.2            pypi_0                pypi
scikit-learn                         1.7.2            py310h228f341_0       conda-forge
scipy                                1.9.3            pypi_0                pypi
seaborn                              0.13.2           pypi_0                pypi
sentencepiece                        0.2.1            pypi_0                pypi
setuptools                           80.9.0           py310h06a4308_0
shellingham                          1.5.4            pypi_0                pypi
six                                  1.17.0           pyhe01879c_1          conda-forge
sniffio                              1.3.1            pypi_0                pypi
sox                                  14.4.2           h32e7c5b_1019         conda-forge
soxr                                 0.1.3            h0b41bf4_3            conda-forge
soxr-python                          1.0.0            py310hea6c23e_1       conda-forge
sqlalchemy                           2.0.44           py310h7c4b9e2_0       conda-forge
sqlite                               3.51.0           h2a70700_0
stack_data                           0.6.3            pyhd8ed1ab_1          conda-forge
standard-aifc                        3.13.0           py310hff52083_3       conda-forge
standard-sunau                       3.13.0           py310hff52083_3       conda-forge
starlette                            0.49.3           pypi_0                pypi
svt-av1                              1.4.1            hcb278e6_0            conda-forge
sympy                                1.14.0           pypi_0                pypi
tgt                                  1.5              pypi_0                pypi
threadpoolctl                        3.6.0            pyhecae5ae_0          conda-forge
tiktoken                             0.12.0           pypi_0                pypi
tk                                   8.6.15           h54e0aa7_0
tokenizers                           0.19.1           pypi_0                pypi
torch                                2.4.0            pypi_0                pypi
torchcodec                           0.11.0           pypi_0                pypi
torchvision                          0.19.0           pypi_0                pypi
tornado                              6.5.2            py310h7c4b9e2_2       conda-forge
tqdm                                 4.67.1           pyhd8ed1ab_1          conda-forge
traitlets                            5.14.3           pyhd8ed1ab_1          conda-forge
transformers                         4.44.2           pypi_0                pypi
triton                               3.0.0            pypi_0                pypi
typer-slim                           0.20.0           pypi_0                pypi
typing-extensions                    4.15.0           h396c80c_0            conda-forge
typing-inspection                    0.4.2            pypi_0                pypi
typing_extensions                    4.15.0           pyhcf101f3_0          conda-forge
tzcode                               2025b            hb9d3cd8_0            conda-forge
tzdata                               2025.2           pypi_0                pypi
unicodedata2                         17.0.0           py310h7c4b9e2_0       conda-forge
urllib3                              2.5.0            pyhd8ed1ab_0          conda-forge
uvicorn                              0.38.0           pypi_0                pypi
uvloop                               0.22.1           pypi_0                pypi
vllm                                 0.5.4            pypi_0                pypi
vllm-flash-attn                      2.6.1            pypi_0                pypi
watchfiles                           1.1.1            pypi_0                pypi
wayland                              1.23.1           h3e06ad9_0            conda-forge
wayland-protocols                    1.45             hd8ed1ab_0            conda-forge
wcwidth                              0.2.14           pyhd8ed1ab_0          conda-forge
websockets                           15.0.1           pypi_0                pypi
wheel                                0.45.1           py310h06a4308_0
x264                                 1!164.3095       h166bdaf_2            conda-forge
x265                                 3.5              h924138e_3            conda-forge
xformers                             0.0.27.post2     pypi_0                pypi
xorg-libx11                          1.8.12           h9b100fa_1
xorg-libxau                          1.0.12           h9b100fa_0
xorg-libxcomposite                   0.4.6            hb9d3cd8_2            conda-forge
xorg-libxcursor                      1.2.3            hb9d3cd8_0            conda-forge
xorg-libxdamage                      1.1.6            hb9d3cd8_0            conda-forge
xorg-libxdmcp                        1.1.5            h9b100fa_0
xorg-libxext                         1.3.6            hb9d3cd8_0            conda-forge
xorg-libxfixes                       6.0.2            hb03c661_0            conda-forge
xorg-libxi                           1.8.2            hb9d3cd8_0            conda-forge
xorg-libxinerama                     1.1.5            h5888daf_1            conda-forge
xorg-libxrandr                       1.5.4            hb9d3cd8_0            conda-forge
xorg-libxrender                      0.9.12           hb9d3cd8_0            conda-forge
xorg-libxtst                         1.2.5            hb9d3cd8_3            conda-forge
xorg-libxxf86vm                      1.1.6            hb9d3cd8_0            conda-forge
xorg-xorgproto                       2024.1           h5eee18b_1
xxhash                               3.6.0            pypi_0                pypi
xz                                   5.6.4            h5eee18b_1
yaml                                 0.2.5            h280c20c_3            conda-forge
yarl                                 1.22.0           pypi_0                pypi
zeromq                               4.3.5            h387f397_9            conda-forge
zipp                                 3.23.0           pyhd8ed1ab_0          conda-forge
zlib                                 1.3.1            hb25bd0a_0
zstandard                            0.25.0           py310h139afa4_1       conda-forge
zstd                                 1.5.7            hb8e6e7a_2            conda-forge
